timestamp,accX,accY,accZ,gyroX,gyroY,gyroZ
0,1.4030,-0.0287,-9.6846,-1.6183,2.5038,0.7481
20,1.2115,-0.0251,-9.7397,-2.3588,2.3740,2.4046
40,1.1456,-0.0108,-10.0964,-1.8397,0.7634,0.8550
60,1.3036,-0.0263,-9.9288,-0.5573,1.2443,0.6183
80,1.3839,-0.0419,-9.8893,-0.4809,0.1527,1.7099
100,1.8364,0.1030,-9.9420,-1.0916,-4.0840,2.6260
120,1.8866,-0.1592,-10.4136,2.0534,-7.9313,11.2519
140,0.9086,-0.2693,-11.2313,10.1679,-21.0916,13.0840
160,1.0439,-0.1963,-10.6207,22.0076,-24.4351,8.9237
180,1.1792,-0.6141,-9.3051,23.4962,-21.7557,10.8779
200,1.2929,-0.3412,-8.8646,10.8779,-21.2748,7.9771
220,1.1624,-0.2490,-10.3119,-0.2137,-15.7176,10.2672
240,0.8655,-0.5818,-10.9104,5.6718,-1.3511,12.7176
260,0.5938,-0.7566,-10.6327,10.2595,-1.4198,12.8550
280,0.6440,-0.4142,-11.0696,18.9695,-26.8550,12.0458
300,0.2514,-0.6428,-10.8290,24.1756,-35.3969,13.8702
320,-0.0730,-0.7673,-10.2520,22.8473,-15.8092,13.0458
340,-0.3795,-0.8069,-9.9144,16.8626,-6.1298,12.7481
360,-0.7362,-0.9337,-10.2245,13.7328,-8.8626,9.6489
380,-0.5878,-0.8140,-11.2672,27.7099,-38.0458,3.6260
400,-0.3879,-0.9242,-10.1934,46.9771,-39.8168,4.1832
420,-0.6560,-1.2701,-7.9715,40.4198,-32.2290,5.4656
440,-1.1768,-1.2689,-8.4803,20.1908,-31.0916,3.1221
460,-1.2007,-1.4389,-9.3255,9.9924,-31.9924,-0.6336
480,-1.2270,-1.4880,-9.5014,8.6947,-27.8321,-3.2443
500,-0.5842,-1.4090,-9.8247,10.1603,-14.7634,-2.5496
520,-0.7254,-1.7035,-9.8678,16.1450,-25.6947,3.5496
540,-1.6795,-1.8340,-9.8139,26.0153,-59.3359,2.9924
560,-2.1907,-2.1093,-9.1938,24.2977,-54.9542,-3.9084
580,-1.6412,-2.1775,-8.5797,10.2137,-29.8779,-6.7786
600,-1.5060,-1.8663,-8.8909,-0.6870,-26.7863,-3.7023
620,-1.7442,-1.9656,-9.8235,2.7405,-40.5115,-0.9466
640,-2.2925,-2.0602,-9.5984,7.7252,-36.0153,0.8931
660,-2.6312,-1.9776,-8.8502,4.4809,-20.5344,0.7863
680,-2.6480,-1.9932,-8.5916,-4.6565,-19.5649,0.7939
700,-2.9940,-2.0782,-8.9137,-9.3282,-23.8931,-1.4351
720,-2.9018,-1.9525,-9.0058,-9.9618,-16.9466,-5.1908
740,-2.5606,-1.8986,-8.6455,-7.4580,-14.1603,-6.8321
760,-2.1847,-1.6017,-7.9536,-12.6107,-23.9542,-3.3817
780,-2.4409,-1.7322,-8.8382,-21.8244,-32.6336,1.5878
800,-3.3962,-1.8938,-9.5350,-16.1985,-18.6870,1.6031
820,-3.9121,-1.6999,-9.2596,-15.5420,-9.7863,-7.8626
840,-3.0514,-1.7167,-9.1351,-15.9313,1.5649,-18.2901
860,-2.6827,-1.4856,-8.9591,-18.0000,-3.1679,-18.7786
880,-2.5810,-1.1373,-9.5661,-19.0076,-7.5725,-19.4275
900,-1.9609,-1.0451,-10.0353,-12.2672,0.0153,-13.3817
920,-2.6384,-0.9744,-9.1208,-5.3435,6.8015,-6.6489
940,-2.9233,-1.0295,-8.1762,-12.2519,14.3588,-9.0153
960,-2.7569,-1.1636,-8.5258,-17.8779,26.6183,-12.0992
980,-2.6420,-0.8799,-8.4899,-17.4122,20.2214,-13.9847
1000,-2.3248,-0.9361,-9.0465,-18.6260,17.6641,-17.2366
1020,-2.4696,-1.4653,-9.2249,-14.1298,23.2748,-15.5344
1040,-2.5546,-1.3204,-8.4013,-21.0763,42.4275,-20.4275
1060,-2.3451,-1.1780,-9.5374,-29.8397,63.2901,-25.2901
1080,-1.0427,-1.2725,-10.3777,-24.2061,32.2137,-25.1527
1100,-0.9278,-1.0738,-10.1395,-15.6031,27.0076,-16.1450
1120,-1.2989,-0.9601,-9.8929,-19.8321,27.8702,-5.6183
1140,-1.0738,-1.0810,-10.2808,-29.9313,42.6489,3.9771
1160,-0.4501,-0.9098,-11.3869,-23.7557,46.7176,15.2519
1180,-0.4549,-0.8823,-10.6973,-10.2519,25.2443,20.8626
1200,-1.3156,-0.8033,-9.6654,-11.8855,34.0992,23.8244
1220,-1.0882,-0.2945,-10.3143,-16.5802,65.6870,19.7939
1240,-0.4621,-0.3603,-10.2664,-5.3206,52.4885,16.4885
1260,-0.0634,-0.2670,-9.5781,-8.5878,32.2137,12.2290
1280,0.0311,-0.1377,-10.1443,-12.9695,34.0229,14.3511
1300,-0.8787,-0.2442,-10.0653,-9.2443,32.8779,12.5267
1320,-0.2753,-0.4166,-9.1363,-11.7252,62.0992,8.6565
1340,-0.3196,-0.5064,-10.0150,-21.1756,53.1679,5.8092
1360,0.4453,-0.4717,-10.7297,-20.6718,44.2672,2.4427
1380,0.2334,-0.2753,-11.7197,-18.3282,35.1221,3.2443
1400,0.2981,-0.3950,-12.1925,1.2595,19.4809,3.1221
1420,0.4417,-0.3831,-11.1894,19.2672,6.5878,5.1298
1440,0.8619,-0.2119,-9.9683,26.9771,-12.1756,7.5725
1460,0.3783,-0.4094,-8.8670,18.6870,-0.7328,13.1908
1480,-0.0958,-0.5351,-9.0741,8.5725,4.1221,10.8626
1500,-0.2945,-0.5088,-9.0429,3.4427,0.7252,6.3817
1520,-0.0766,-0.4836,-9.7445,-4.3817,7.4275,2.8321
1540,0.1460,-0.4178,-10.3897,-2.3893,10.6947,2.8855
1560,0.2215,-0.5100,-10.5884,2.1145,-1.9542,0.4198
1580,0.5303,-0.5315,-10.1646,7.8931,-4.2824,0.3053
1600,0.4262,-0.5734,-9.0801,2.6870,4.2824,-0.5649
1620,1.0139,-0.6428,-9.7373,-4.3359,5.1069,-1.9771
1640,0.6907,-0.4357,-10.6279,3.9466,-3.0458,0.2595
1660,0.3101,-0.5183,-9.7612,4.7863,4.8015,0.8626
1680,0.7099,-0.6752,-9.3889,1.0916,9.7786,-0.1450
1700,0.4561,-0.5890,-10.0437,-0.0916,-0.8092,2.0763
1720,0.1748,-0.5375,-10.0892,4.0611,-2.7786,1.7786
1740,0.4453,-0.5722,-10.1874,6.6718,1.1450,2.0611
1760,0.2717,-0.6129,-9.7109,6.3282,-1.9618,2.3130
1780,0.4657,-0.6500,-9.5505,1.0000,-1.1374,0.2290
1800,0.6979,-0.6572,-10.0365,2.0916,2.2748,2.9237
1820,0.0706,-0.7338,-9.4320,4.0840,0.3664,4.5420
1840,0.0239,-0.8212,-9.4344,-4.4580,0.4427,-0.2748
1860,0.3795,-0.7362,-9.9815,-4.5649,4.1527,-1.1145
1880,0.3328,-0.7290,-9.6523,-4.1756,6.0611,-0.0458
1900,0.2885,-0.7159,-10.0090,-4.5115,-0.4504,-1.1298
1920,0.2885,-0.5471,-10.2089,-2.0611,1.3359,-1.8168
1940,0.7614,-0.4968,-10.2113,-2.6183,2.9160,-0.0687
1960,0.4908,-0.5842,-10.2029,1.3740,-2.3282,1.5878
1980,0.3184,-0.6165,-9.7708,2.1603,-1.5802,1.4809
2000,0.2921,-0.6165,-9.5661,-1.3130,3.8931,1.5573
2020,0.3101,-0.6728,-9.6559,-3.4885,5.3206,1.3435
2040,0.4417,-0.6369,-9.7433,-4.2824,1.6870,1.5878
2060,0.2394,-0.7422,-9.7409,-4.4656,2.3206,1.3893
2080,0.7685,-0.6692,-9.9563,-6.2824,5.4351,1.5802
2100,0.6991,-0.6692,-10.3777,-4.0916,4.8931,2.6565
2120,1.4198,-0.6548,-10.0665,-3.7710,6.0916,3.5878
2140,1.4305,-0.8440,-10.5477,-1.9389,4.8473,8.9466
2160,1.3348,-0.7302,-10.1060,-0.1298,7.2061,10.3893
2180,1.3623,-0.6788,-10.6291,-3.4885,12.6870,16.9771
